,disaster,id,name,time,label_exists,target_exists,gsd,capture_date,disaster_type,height,width,original_height,original_width,NA,destroyed,major-damage,minor-damage,no-damage,un-classified
19,hurricane-matthew,00000367,hurricane-matthew_00000367_pre_disaster.png,pre,True,True,2.04232048988342,2013-06-09T15:50:52.345Z,wind,1024,1024,1024,1024,146,0,0,0,0,0
20,hurricane-florence,00000513,hurricane-florence_00000513_pre_disaster.png,pre,True,True,1.958603,2018-04-06T15:49:36.000Z,flooding,1024,1024,1024,1024,4,0,0,0,0,0
21,hurricane-florence,00000222,hurricane-florence_00000222_post_disaster.png,post,True,True,2.0916247,2018-09-20T16:04:41.000Z,flooding,1024,1024,1024,1024,0,0,0,0,0,0
22,santa-rosa-wildfire,00000084,santa-rosa-wildfire_00000084_post_disaster.png,post,True,True,1.8769937,2017-10-11T19:19:41.000Z,fire,1024,1024,1024,1024,0,207,0,0,11,0
23,socal-fire,00000553,socal-fire_00000553_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,2,0
24,midwest-flooding,00000007,midwest-flooding_00000007_pre_disaster.png,pre,True,True,2.090686,2019-01-26T17:17:36.000Z,flooding,1024,1024,1024,1024,54,0,0,0,0,0
25,socal-fire,00000126,socal-fire_00000126_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,27,3
26,hurricane-matthew,00000380,hurricane-matthew_00000380_post_disaster.png,post,True,True,1.59234964847565,2016-10-10T16:04:56.646Z,wind,1024,1024,1024,1024,0,53,11,0,0,0
27,socal-fire,00000739,socal-fire_00000739_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,38,0
28,hurricane-harvey,00000024,hurricane-harvey_00000024_pre_disaster.png,pre,True,True,1.9022960000000002,2017-02-16T17:11:21.000Z,flooding,1024,1024,1024,1024,30,0,0,0,0,0
29,socal-fire,00000270,socal-fire_00000270_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
30,hurricane-harvey,00000493,hurricane-harvey_00000493_pre_disaster.png,pre,True,True,2.2015352000000004,2017-02-16T17:11:58.000Z,flooding,1024,1024,1024,1024,36,0,0,0,0,0
31,socal-fire,00000015,socal-fire_00000015_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
32,midwest-flooding,00000277,midwest-flooding_00000277_pre_disaster.png,pre,True,True,2.0809727000000002,2019-01-26T17:16:23.000Z,flooding,1024,1024,1024,1024,17,0,0,0,0,0
33,socal-fire,00000747,socal-fire_00000747_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
34,midwest-flooding,00000021,midwest-flooding_00000021_pre_disaster.png,pre,True,True,2.090686,2019-01-26T17:17:36.000Z,flooding,1024,1024,1024,1024,6,0,0,0,0,0
35,socal-fire,00000415,socal-fire_00000415_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
36,socal-fire,00000445,socal-fire_00000445_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
37,hurricane-michael,00000501,hurricane-michael_00000501_pre_disaster.png,pre,True,True,2.2217438,2017-10-05T16:51:27.000Z,wind,1024,1024,1024,1024,107,0,0,0,0,0
38,midwest-flooding,00000073,midwest-flooding_00000073_post_disaster.png,post,True,True,1.3587263,2019-05-30T17:35:22.000Z,flooding,1024,1024,1024,1024,0,0,0,0,0,0
39,socal-fire,00000197,socal-fire_00000197_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
40,santa-rosa-wildfire,00000313,santa-rosa-wildfire_00000313_pre_disaster.png,pre,True,True,2.149289,2017-05-21T19:19:19.000Z,fire,1024,1024,1024,1024,71,0,0,0,0,0
41,socal-fire,00000427,socal-fire_00000427_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,15,0,4,1,0
42,hurricane-florence,00000379,hurricane-florence_00000379_post_disaster.png,post,True,True,2.0916247,2018-09-20T16:04:41.000Z,flooding,1024,1024,1024,1024,0,0,4,0,1,0
43,socal-fire,00001385,socal-fire_00001385_pre_disaster.png,pre,True,True,1.9003485,2018-10-23T18:50:43.000Z,fire,1024,1024,1024,1024,10,0,0,0,0,0
44,mexico-earthquake,00000084,mexico-earthquake_00000084_pre_disaster.png,pre,True,True,1.3783635,2017-01-04T17:31:25.156Z,earthquake,1024,1024,1024,1024,176,0,0,0,0,0
45,hurricane-michael,00000528,hurricane-michael_00000528_pre_disaster.png,pre,True,True,2.2217438,2017-10-05T16:51:27.000Z,wind,1024,1024,1024,1024,119,0,0,0,0,0
46,hurricane-matthew,00000084,hurricane-matthew_00000084_pre_disaster.png,pre,True,True,1.91168606,2013-01-05T16:02:21.000Z,wind,1024,1024,1024,1024,64,0,0,0,0,0
47,hurricane-harvey,00000443,hurricane-harvey_00000443_pre_disaster.png,pre,True,True,2.2015352000000004,2017-02-16T17:11:58.000Z,flooding,1024,1024,1024,1024,89,0,0,0,0,0
48,hurricane-michael,00000253,hurricane-michael_00000253_post_disaster.png,post,True,True,2.0711906,2018-10-13T16:48:15.000Z,wind,1024,1024,1024,1024,0,6,7,23,50,2
49,midwest-flooding,00000410,midwest-flooding_00000410_pre_disaster.png,pre,True,True,2.0809727000000002,2019-01-26T17:16:23.000Z,flooding,1024,1024,1024,1024,23,0,0,0,0,0
50,hurricane-harvey,00000123,hurricane-harvey_00000123_post_disaster.png,post,True,True,3.024613,2017-08-31T17:38:50.685Z,flooding,1024,1024,1024,1024,0,6,82,0,0,0
51,hurricane-harvey,00000358,hurricane-harvey_00000358_pre_disaster.png,pre,True,True,2.2015352000000004,2017-02-16T17:11:58.000Z,flooding,1024,1024,1024,1024,157,0,0,0,0,0
52,socal-fire,00000154,socal-fire_00000154_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,1,0,0,0,0,0
53,midwest-flooding,00000140,midwest-flooding_00000140_post_disaster.png,post,True,True,1.2524601,2019-05-30T17:35:04.000Z,flooding,1024,1024,1024,1024,0,2,0,0,13,1
54,socal-fire,00000392,socal-fire_00000392_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,1
55,midwest-flooding,00000337,midwest-flooding_00000337_pre_disaster.png,pre,True,True,2.0809727000000002,2019-01-26T17:16:23.000Z,flooding,1024,1024,1024,1024,12,0,0,0,0,0
56,socal-fire,00000998,socal-fire_00000998_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
57,socal-fire,00000455,socal-fire_00000455_pre_disaster.png,pre,True,True,2.1259935000000003,2018-10-23T18:51:21.000Z,fire,1024,1024,1024,1024,1,0,0,0,0,0
58,socal-fire,00000503,socal-fire_00000503_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,4,0
59,socal-fire,00001013,socal-fire_00001013_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,2,0,0,12,3
60,socal-fire,00001039,socal-fire_00001039_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
61,hurricane-harvey,00000348,hurricane-harvey_00000348_post_disaster.png,post,True,True,3.024613,2017-08-31T17:38:50.685Z,flooding,1024,1024,1024,1024,0,0,0,0,5,0
62,mexico-earthquake,00000179,mexico-earthquake_00000179_post_disaster.png,post,True,True,2.6503215,2017-09-20T17:46:11.000Z,earthquake,1024,1024,1024,1024,0,0,0,0,27,2
63,hurricane-michael,00000172,hurricane-michael_00000172_post_disaster.png,post,True,True,2.0711906,2018-10-13T16:48:15.000Z,wind,1024,1024,1024,1024,0,0,5,37,76,0
64,socal-fire,00001134,socal-fire_00001134_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,20,0,0,0,0,0
65,hurricane-michael,00000061,hurricane-michael_00000061_pre_disaster.png,pre,True,True,2.0664845,2017-11-29T16:28:19.000Z,wind,1024,1024,1024,1024,53,0,0,0,0,0
66,hurricane-michael,00000144,hurricane-michael_00000144_post_disaster.png,post,True,True,2.0711906,2018-10-13T16:48:15.000Z,wind,1024,1024,1024,1024,0,0,13,23,0,0
67,socal-fire,00001278,socal-fire_00001278_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,8,0,0,0,0,0
68,midwest-flooding,00000100,midwest-flooding_00000100_post_disaster.png,post,True,True,1.3587263,2019-05-30T17:35:22.000Z,flooding,1024,1024,1024,1024,0,0,0,0,19,0
69,socal-fire,00001347,socal-fire_00001347_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
70,socal-fire,00001170,socal-fire_00001170_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
71,socal-fire,00000602,socal-fire_00000602_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
72,palu-tsunami,00000121,palu-tsunami_00000121_pre_disaster.png,pre,True,True,1.9639755,2016-10-25T02:26:09.000Z,tsunami,1024,1024,1024,1024,10,0,0,0,0,0
73,socal-fire,00000087,socal-fire_00000087_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,8,0,0,0,0,0
74,hurricane-matthew,00000174,hurricane-matthew_00000174_post_disaster.png,post,True,True,1.59234964847565,2016-10-10T16:04:56.646Z,wind,1024,1024,1024,1024,0,24,3,2,0,0
75,santa-rosa-wildfire,00000078,santa-rosa-wildfire_00000078_post_disaster.png,post,True,True,1.8769937,2017-10-11T19:19:41.000Z,fire,1024,1024,1024,1024,0,7,0,0,5,0
76,midwest-flooding,00000152,midwest-flooding_00000152_post_disaster.png,post,True,True,1.2524601,2019-05-30T17:35:04.000Z,flooding,1024,1024,1024,1024,0,0,0,0,0,0
77,socal-fire,00000843,socal-fire_00000843_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
78,hurricane-florence,00000461,hurricane-florence_00000461_pre_disaster.png,pre,True,True,1.958603,2018-04-06T15:49:36.000Z,flooding,1024,1024,1024,1024,12,0,0,0,0,0
79,hurricane-michael,00000204,hurricane-michael_00000204_pre_disaster.png,pre,True,True,2.0664845,2017-11-29T16:28:19.000Z,wind,1024,1024,1024,1024,89,0,0,0,0,0
80,midwest-flooding,00000140,midwest-flooding_00000140_pre_disaster.png,pre,True,True,2.0809727000000002,2019-01-26T17:16:23.000Z,flooding,1024,1024,1024,1024,16,0,0,0,0,0
81,hurricane-florence,00000514,hurricane-florence_00000514_post_disaster.png,post,True,True,2.0916247,2018-09-20T16:04:41.000Z,flooding,1024,1024,1024,1024,0,0,4,0,0,0
82,palu-tsunami,00000003,palu-tsunami_00000003_pre_disaster.png,pre,True,True,2.0312154,2017-01-24T02:18:34.285Z,tsunami,1024,1024,1024,1024,5,0,0,0,0,0
83,mexico-earthquake,00000000,mexico-earthquake_00000000_pre_disaster.png,pre,True,True,1.3783635,2017-01-04T17:31:25.156Z,earthquake,1024,1024,1024,1024,449,0,0,0,0,0
84,midwest-flooding,00000371,midwest-flooding_00000371_pre_disaster.png,pre,True,True,2.0809727000000002,2019-01-26T17:16:23.000Z,flooding,1024,1024,1024,1024,6,0,0,0,0,0
85,hurricane-harvey,00000381,hurricane-harvey_00000381_post_disaster.png,post,True,True,3.024613,2017-08-31T17:38:50.685Z,flooding,1024,1024,1024,1024,0,0,0,4,138,0
86,socal-fire,00000647,socal-fire_00000647_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
87,palu-tsunami,00000126,palu-tsunami_00000126_post_disaster.png,post,True,True,2.8247435,2018-10-01T02:26:02.000Z,tsunami,1024,1024,1024,1024,0,0,0,0,499,0
88,hurricane-harvey,00000477,hurricane-harvey_00000477_pre_disaster.png,pre,True,True,2.2015352000000004,2017-02-16T17:11:58.000Z,flooding,1024,1024,1024,1024,231,0,0,0,0,0
89,socal-fire,00000027,socal-fire_00000027_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
90,hurricane-matthew,00000083,hurricane-matthew_00000083_pre_disaster.png,pre,True,True,1.91168606,2013-01-05T16:02:21.000Z,wind,1024,1024,1024,1024,71,0,0,0,0,0
91,midwest-flooding,00000113,midwest-flooding_00000113_post_disaster.png,post,True,True,1.3587263,2019-05-30T17:35:22.000Z,flooding,1024,1024,1024,1024,0,0,0,0,30,0
92,socal-fire,00000776,socal-fire_00000776_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,6,0
93,hurricane-matthew,00000094,hurricane-matthew_00000094_pre_disaster.png,pre,True,True,1.91168606,2013-01-05T16:02:21.000Z,wind,1024,1024,1024,1024,54,0,0,0,0,0
94,midwest-flooding,00000143,midwest-flooding_00000143_post_disaster.png,post,True,True,1.2524601,2019-05-30T17:35:04.000Z,flooding,1024,1024,1024,1024,0,6,1,3,13,0
95,hurricane-florence,00000462,hurricane-florence_00000462_pre_disaster.png,pre,True,True,1.958603,2018-04-06T15:49:36.000Z,flooding,1024,1024,1024,1024,27,0,0,0,0,0
96,socal-fire,00000827,socal-fire_00000827_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
97,socal-fire,00000549,socal-fire_00000549_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,30,0
98,socal-fire,00001202,socal-fire_00001202_pre_disaster.png,pre,True,True,1.9003485,2018-10-23T18:50:43.000Z,fire,1024,1024,1024,1024,4,0,0,0,0,0
99,socal-fire,00001028,socal-fire_00001028_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
100,hurricane-michael,00000096,hurricane-michael_00000096_pre_disaster.png,pre,True,True,2.0664845,2017-11-29T16:28:19.000Z,wind,1024,1024,1024,1024,9,0,0,0,0,0
101,socal-fire,00000606,socal-fire_00000606_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,2,0,0,1,0
102,socal-fire,00000273,socal-fire_00000273_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
103,santa-rosa-wildfire,00000299,santa-rosa-wildfire_00000299_pre_disaster.png,pre,True,True,2.149289,2017-05-21T19:19:19.000Z,fire,1024,1024,1024,1024,4,0,0,0,0,0
104,socal-fire,00000511,socal-fire_00000511_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
105,socal-fire,00001324,socal-fire_00001324_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
106,hurricane-michael,00000133,hurricane-michael_00000133_post_disaster.png,post,True,True,2.0711906,2018-10-13T16:48:15.000Z,wind,1024,1024,1024,1024,0,11,19,99,94,3
107,midwest-flooding,00000035,midwest-flooding_00000035_post_disaster.png,post,True,True,1.7392077000000001,2019-05-31T16:54:31.000Z,flooding,1024,1024,1024,1024,0,0,0,0,0,0
108,hurricane-florence,00000252,hurricane-florence_00000252_pre_disaster.png,pre,True,True,1.958603,2018-04-06T15:49:36.000Z,flooding,1024,1024,1024,1024,1,0,0,0,0,0
109,santa-rosa-wildfire,00000009,santa-rosa-wildfire_00000009_post_disaster.png,post,True,True,1.8769937,2017-10-11T19:19:41.000Z,fire,1024,1024,1024,1024,0,4,0,0,2,0
110,palu-tsunami,00000033,palu-tsunami_00000033_post_disaster.png,post,True,True,2.8247435,2018-10-01T02:26:02.000Z,tsunami,1024,1024,1024,1024,0,8,4,0,7,2
111,palu-tsunami,00000148,palu-tsunami_00000148_post_disaster.png,post,True,True,2.8247435,2018-10-01T02:26:02.000Z,tsunami,1024,1024,1024,1024,0,14,2,0,3,0
112,hurricane-michael,00000512,hurricane-michael_00000512_pre_disaster.png,pre,True,True,2.2217438,2017-10-05T16:51:27.000Z,wind,1024,1024,1024,1024,138,0,0,0,0,0
113,hurricane-harvey,00000081,hurricane-harvey_00000081_post_disaster.png,post,True,True,3.1466618,2017-08-31T17:39:25.085Z,flooding,1024,1024,1024,1024,0,0,23,4,0,6
114,socal-fire,00000666,socal-fire_00000666_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,3,0,0,0,0,0
115,hurricane-michael,00000220,hurricane-michael_00000220_post_disaster.png,post,True,True,2.0711906,2018-10-13T16:48:15.000Z,wind,1024,1024,1024,1024,0,0,4,14,53,0
116,hurricane-harvey,00000315,hurricane-harvey_00000315_post_disaster.png,post,True,True,3.024613,2017-08-31T17:38:50.685Z,flooding,1024,1024,1024,1024,0,0,3,0,0,0
117,hurricane-matthew,00000314,hurricane-matthew_00000314_post_disaster.png,post,True,True,1.59234964847565,2016-10-10T16:04:56.646Z,wind,1024,1024,1024,1024,0,7,4,2,0,0
118,mexico-earthquake,00000013,mexico-earthquake_00000013_post_disaster.png,post,True,True,2.6503215,2017-09-20T17:46:11.000Z,earthquake,1024,1024,1024,1024,0,0,0,0,260,0
119,mexico-earthquake,00000119,mexico-earthquake_00000119_post_disaster.png,post,True,True,2.6503215,2017-09-20T17:46:11.000Z,earthquake,1024,1024,1024,1024,0,0,0,1,53,0
120,hurricane-florence,00000341,hurricane-florence_00000341_post_disaster.png,post,True,True,2.0916247,2018-09-20T16:04:41.000Z,flooding,1024,1024,1024,1024,0,1,0,2,0,2
121,hurricane-harvey,00000511,hurricane-harvey_00000511_post_disaster.png,post,True,True,3.024613,2017-08-31T17:38:50.685Z,flooding,1024,1024,1024,1024,0,8,5,0,0,1
122,santa-rosa-wildfire,00000173,santa-rosa-wildfire_00000173_post_disaster.png,post,True,True,1.8769937,2017-10-11T19:19:41.000Z,fire,1024,1024,1024,1024,0,0,0,0,168,0
123,santa-rosa-wildfire,00000174,santa-rosa-wildfire_00000174_post_disaster.png,post,True,True,1.8769937,2017-10-11T19:19:41.000Z,fire,1024,1024,1024,1024,0,7,0,1,1,0
124,mexico-earthquake,00000066,mexico-earthquake_00000066_post_disaster.png,post,True,True,2.6503215,2017-09-20T17:46:11.000Z,earthquake,1024,1024,1024,1024,0,0,0,0,26,0
125,palu-tsunami,00000145,palu-tsunami_00000145_pre_disaster.png,pre,True,True,1.9639755,2016-10-25T02:26:09.000Z,tsunami,1024,1024,1024,1024,18,0,0,0,0,0
126,socal-fire,00001206,socal-fire_00001206_pre_disaster.png,pre,True,True,1.9003485,2018-10-23T18:50:43.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
127,midwest-flooding,00000036,midwest-flooding_00000036_pre_disaster.png,pre,True,True,2.090686,2019-01-26T17:17:36.000Z,flooding,1024,1024,1024,1024,71,0,0,0,0,0
128,socal-fire,00000480,socal-fire_00000480_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,9,0
129,hurricane-michael,00000330,hurricane-michael_00000330_post_disaster.png,post,True,True,2.0711906,2018-10-13T16:48:15.000Z,wind,1024,1024,1024,1024,0,2,0,3,12,0
130,socal-fire,00000834,socal-fire_00000834_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
131,hurricane-harvey,00000245,hurricane-harvey_00000245_pre_disaster.png,pre,True,True,2.2015352000000004,2017-02-16T17:11:58.000Z,flooding,1024,1024,1024,1024,62,0,0,0,0,0
132,palu-tsunami,00000195,palu-tsunami_00000195_pre_disaster.png,pre,True,True,2.2467656000000003,2018-02-20T02:24:45.000Z,tsunami,1024,1024,1024,1024,23,0,0,0,0,0
133,socal-fire,00001071,socal-fire_00001071_post_disaster.png,post,True,True,2.5700748,2018-11-14T18:42:58.000Z,fire,1024,1024,1024,1024,0,0,0,0,1,0
134,hurricane-matthew,00000319,hurricane-matthew_00000319_pre_disaster.png,pre,True,True,1.95753467082977,2013-06-09T15:51:17.851Z,wind,1024,1024,1024,1024,3,0,0,0,0,0
135,hurricane-michael,00000292,hurricane-michael_00000292_pre_disaster.png,pre,True,True,2.0664845,2017-11-29T16:28:19.000Z,wind,1024,1024,1024,1024,115,0,0,0,0,0
136,midwest-flooding,00000405,midwest-flooding_00000405_pre_disaster.png,pre,True,True,2.0809727000000002,2019-01-26T17:16:23.000Z,flooding,1024,1024,1024,1024,3,0,0,0,0,0
137,hurricane-harvey,00000391,hurricane-harvey_00000391_post_disaster.png,post,True,True,3.024613,2017-08-31T17:38:50.685Z,flooding,1024,1024,1024,1024,0,23,86,26,0,7
138,mexico-earthquake,00000027,mexico-earthquake_00000027_post_disaster.png,post,True,True,2.6503215,2017-09-20T17:46:11.000Z,earthquake,1024,1024,1024,1024,0,0,0,0,240,0
139,socal-fire,00000939,socal-fire_00000939_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
140,hurricane-harvey,00000309,hurricane-harvey_00000309_post_disaster.png,post,True,True,3.024613,2017-08-31T17:38:50.685Z,flooding,1024,1024,1024,1024,0,5,0,0,0,0
141,hurricane-harvey,00000446,hurricane-harvey_00000446_post_disaster.png,post,True,True,3.024613,2017-08-31T17:38:50.685Z,flooding,1024,1024,1024,1024,0,0,0,0,157,0
142,santa-rosa-wildfire,00000170,santa-rosa-wildfire_00000170_pre_disaster.png,pre,True,True,1.6719055,2017-06-21T19:09:01.000Z,fire,1024,1024,1024,1024,28,0,0,0,0,0
143,hurricane-harvey,00000126,hurricane-harvey_00000126_pre_disaster.png,pre,True,True,2.2015352000000004,2017-02-16T17:11:58.000Z,flooding,1024,1024,1024,1024,14,0,0,0,0,0
144,mexico-earthquake,00000085,mexico-earthquake_00000085_pre_disaster.png,pre,True,True,1.3783635,2017-01-04T17:31:25.156Z,earthquake,1024,1024,1024,1024,305,0,0,0,0,0
145,midwest-flooding,00000060,midwest-flooding_00000060_pre_disaster.png,pre,True,True,2.090686,2019-01-26T17:17:36.000Z,flooding,1024,1024,1024,1024,244,0,0,0,0,0
146,hurricane-florence,00000181,hurricane-florence_00000181_post_disaster.png,post,True,True,2.0916247,2018-09-20T16:04:41.000Z,flooding,1024,1024,1024,1024,0,0,11,0,20,1
147,santa-rosa-wildfire,00000179,santa-rosa-wildfire_00000179_pre_disaster.png,pre,True,True,1.6719055,2017-06-21T19:09:01.000Z,fire,1024,1024,1024,1024,251,0,0,0,0,0
148,palu-tsunami,00000102,palu-tsunami_00000102_pre_disaster.png,pre,True,True,1.9639755,2016-10-25T02:26:09.000Z,tsunami,1024,1024,1024,1024,105,0,0,0,0,0
149,hurricane-matthew,00000393,hurricane-matthew_00000393_post_disaster.png,post,True,True,1.59234964847565,2016-10-10T16:04:56.646Z,wind,1024,1024,1024,1024,0,0,0,0,0,0
